,title,content,datetime
14,加拿大航空停飞所有意大利航班,加拿大媒体报道，加拿大航空停飞所有意大利航班。,2020-03-11 03:26:00
15,美股开盘：道指开盘大跌1700点 波音跌超15%,道指开盘下挫1700点，盘前三大股指集体熔断；航空股跌幅扩大，波音跌超15%；特朗普宣布欧洲旅行禁令、延长缴税期限，只字不提美国检测政策；欧洲央行维持三大关键利率不变；沙特拒绝召开欧佩克技术会议。,2020-03-12 21:30:00
16,美股航空股盘前跌幅不断扩大,美股航空股盘前跌幅不断扩大，波音、美国联合航空、美国航空集团均跌超15%，达美航空跌14%。,2020-03-12 20:03:00
17,美股航空股跌幅扩大,美股航空股跌幅扩大，波音、美国联合航空、美国航空集团均跌超10%，,2020-03-12 19:02:00
18,民航局：上周国内航班量环比上升16%，恢复到正常水平四成,据澎湃，关于民航安排复工复产航班的最新情况，民航局运输司副巡视员靳军号表示，随着疫情逐步得到有效控制，各地复工复产有序开展，为更好满足返程客流的需求，民航局及时出台了相关政策，支持各航空公司恢复生产。上周（3月2日-8日）国内航班...,2020-03-12 11:18:00
19,民航局下发十六条政策措施支持民航业稳定发展,据北京日报，民航局下发《关于积极应对新冠肺炎疫情有关支持政策的通知》，提出实施积极财经政策、积极推进降费减负、加大基础设施投资、促进航空运输发展、优化政务服务工作等五个方面十六条政策措施。通知还提出，抓紧新开工复工枢纽机场、脱...,2020-03-12 11:16:00
20,民航局十六条下发政策措施支持民航业稳定发展,据北京日报，民航局下发《关于积极应对新冠肺炎疫情有关支持政策的通知》，提出实施积极财经政策、积极推进降费减负、加大基础设施投资、促进航空运输发展、优化政务服务工作等五个方面十六条政策措施。通知还提出，抓紧新开工复工枢纽机场、脱...,2020-03-12 11:07:00
21,民航局严防境外疫情通过国际航线输入：区分航班风险等级,3月12日，中国民用航空局召开新闻发布会，中国民航局飞行标准司司长朱涛表示，将区分航班风险等级。民航局落实分区分级差异化安全管控要求，先后下发三版疫情防控指南，将航班划分为高、中、低三级风险，指导运输航空公司、机场在加强通风、消毒...,2020-03-12 10:48:00
22,港股航空股全线阴跌,港股航空股全线阴跌。国泰航空跌4.22%，中国南方航空股份跌4.63%，中国国航、中国东方航空股份跌约4%。,2020-03-12 09:47:00
23,受全球新冠肺炎疫情影响 美国航空大幅推迟部分地区航线复航,当地时间3月10日，美国航空公司（AA）发表声明表示，由于新冠肺炎疫情导致乘客减少，继续对美国航空的部分航线暂停复航。美国航空表示，将在夏季高峰期减少10%的国际运力，其中跨太平洋运力减少55%，4月将美国国内运力降低7.5%。（央视新闻）,2020-03-12 09:07:00
24,美股航空股普遍拉升，美国航空集团涨超14%,美股航空股普遍拉升，美国航空集团涨超14%，达美航空涨14.48%，波音涨超13%，美国联合航空涨超13%。,2020-03-13 21:32:00
25,特高压板块大掀涨停潮 机构、游资资金博弈激烈,特高压板块午后强势，大掀涨停潮，机构、游资资金博弈激烈。盘后交易数据显示，涨停个股许继电气获兴业证券成都航空路等四名游资合计买入1.64亿元，遭四机构席位卖出8000万元。智光电气获南京证券南京大钟亭等五名券商营业部合计买入1.29亿元。...,2020-03-13 16:48:00
26,阿联酋航空公司宣布暂停飞往意大利的所有航班,阿联酋航空公司12日宣布，将于3月13日起暂停飞往米兰和博洛尼亚的航班，3月14日起暂停飞往罗马的航班，飞往威尼斯的航班已于3月12日起暂停。此外总部位于迪拜的另一家航空公司――迪拜航空公司也将暂停飞往意大利的航班。（央视新闻）,2020-03-13 14:43:00
27,俄罗斯暂停往返意大利、法国、德国、西班牙部分航班,受新冠肺炎疫情影响，俄罗斯交通部13日决定，俄主要航空公司从13日起暂停往返意大利、法国、德国和西班牙的部分航班，包机将不受限制，方便俄罗斯和四国撤侨。（新华社）,2020-03-13 14:31:00
28,港股航空股全线走低,港股航空股全线走低。中国南方航空股份跌约10%，中国东方航空股份跌超9%，中国国航跌超5%。,2020-03-13 09:40:00
29,挪威航空公司停飞4000趟航班并裁员50%,挪威航空公司停飞4000趟航班，并裁员50%。,2020-03-13 00:33:00
30,丹麦新冠肺炎累计801例 开始实施边境管控,截至当地时间13日，丹麦累计确诊新冠肺炎病例801例，比前一日增加127例。丹麦首相梅特·弗雷泽里克森当晚宣布从14日12时至4月13日实施边境管控，出入境客运航空、轮渡和铁路运输将全部或部分关闭。,2020-03-14 18:42:00
31,美国白宫讨论援助航空公司,美国白宫讨论援助航空公司，其中包括机票税减免。据悉将允许航空公司保留7.5%的乘客消费税。,2020-03-14 03:07:00
32,美国财长努钦：对股市在未来走高非常有信心,美国财长努钦：预计美国经济将在今年晚些时候出现很大的反弹，股市总是起起落落，对股市在未来走高非常有信心，将与国会一起关注航空、酒店和游轮产业的运营。,2020-03-15 21:25:00
33,美国航空公司将分阶段暂停国际航班,美国航空集团公司周六表示，将从3月16日起分阶段停飞几乎所有长途国际航班，原因是持续的冠状病毒疫情导致需求下降和旅行限制。（路透）,2020-03-15 11:58:00
34,越南新冠肺炎确诊病例升至60例,据越南卫生部3月16日最新消息，越南新确诊3例新冠肺炎感染个案。3名确诊个案分别为1名越南航空空乘，1名赴法国留学生和1名法国旅客。截至记者发稿，该国确诊感染病例已上升至60例。（央视新闻）,2020-03-16 22:04:00
35,女子在美期间已出现症状仍然回京，被立案侦查,据平安北京消息，3月13日，北京市报告1例从美国输入的确诊病例，黎某，女，37岁，长期定居美国马萨诸塞州。3月14、15日，市疾控中心和中国国际航空公司在北京市新冠肺炎疫情防控工作新闻发布会上通报，黎某在美期间已出现发热、咳嗽等症状，并多...,2020-03-16 16:45:00
36,民航局：3月4日至今安排7架次临时航班接回中国公民1101人,中国民用航空局飞行标准司司长朱涛介绍，3月4日起至今，民航局在正常航班的运行基础之上，对一些需求集中、飞行目的地有接收能力的城市，视情启动了重大航空运输保障机制，开行临时班机或包机，目前共执行了13架次赴疫情严重国家的运输任务，其...,2020-03-16 15:51:00
37,亚太航空中心警告：疫情将使大多数航空公司在5月前破产,亚太航空中心（CAPA）警告称，新冠病毒疫情将使大多数航空公司在5月前破产。,2020-03-16 14:29:00
38,吉布提“封国”：将于18日停飞所有民用航班,吉布提总统府和民用航空管理局于当地时间3月15日宣布，为预防新冠肺炎疫情输入，吉布提国际机场将于当地时间3月18日起停飞所有国内外民用航班，货运航班暂不受影响。（环球网）,2020-03-16 08:19:00
39,东航取消多个欧美航班,3月17日，中国东方航空宣布取消原定本周起恢复的部分国际航班，涉及美国、加拿大、英国、德国、法国等在内的多个北美及欧洲国家。其中，原定于3月29日开航的北京大兴-巴黎航线也将在3月29日-6月13日期间取消。东航表示，旅客可通过原购票渠道免...,2020-03-17 22:29:00
40,美股航空股持续下挫，波音跌超10%,美股航空股持续下挫，波音跌超10%，拖累道指表现。,2020-03-17 21:50:00
41,美股航空股板块转跌,美股航空股板块转跌，波音（BA.N）跌超4%，达美航空（DAL.N）现跌2.6%，东方航空（CEA.N）跌1%。,2020-03-17 21:42:00
42,美国总统特朗普政府将寻求8500亿美元的资金来缓解疫情对...,美国总统特朗普政府将寻求8500亿美元的资金来缓解疫情对经济的影响。将寻求价值约500亿美元的资金用于援助航空业。（华盛顿邮报）,2020-03-17 20:14:00
43,澳大利亚公布价值7.15亿澳元的航空业纾困一揽子方案,据《澳大利亚金融评论报》：澳大利亚公布价值7.15亿澳元的航空业纾困一揽子方案。,2020-03-17 18:38:00
44,港股收评：恒指收涨0.87% 科技股小幅反弹,恒指收涨0.87%；汽车股、内房股、航空股、体育用品板块普遍走低，东风集团跌近5%，碧桂园跌逾3%，南方航空跌近6%，361度跌4.65%；科技股小幅反弹，腾讯控股涨逾2%。,2020-03-17 16:09:00
45,北京海关：“未来一周11万人将从欧洲到京”系虚假信息,针对“未来一周11万人将从欧洲到京”的传言，北京海关17日通过官方微博澄清，该传言系虚假信息。近日，有网络传言称：“北京海关向国内航空公司汇总欧洲至北京航班机票预订情况，中午统计结果出来了，未来一周有11万人从欧洲各地到北京。”北京...,2020-03-17 15:24:00
46,机场航运概念持续走弱,机场航运概念持续走弱，春秋航空跌逾5%，白云机场、中国国航、深圳机场跌3%。,2020-03-17 13:54:00
47,加拿大第二大航空公司暂停国际和加美跨境航班 停飞30天,加拿大第二大航空公司――西捷航空公司（WestJet）当地时间16日晚宣布，鉴于新冠疫情的暴发，以及加拿大政府的要求，公司将从山地时间3月22日晚上11:59（北京时间3月23日下午1:59）开始，停飞旗下所有的国际航班和来往于加拿大和美国之间的跨境...,2020-03-17 13:07:00
48,菲律宾航空公司将于3月20日取消所有国际航班国内航班即刻...,菲律宾航空公司在3月17日发布信息称，为配合实施“强化社区隔离”政策，菲律宾航空公司的所有国内航班将于即刻起至当地时间4月12日暂停，当地时间4月13日恢复运作。所有的国际航班，也将在当地时间3月20日零点起至4月12日暂停运营。,2020-03-17 11:15:00
49,澳大利亚航空将削减9成国际航班,3月17日，澳大利亚航空宣布将在5月底之前进一步削减航班，将国际运力削减约90％，将国内运力削减约60％。澳航在一份声明中说，公司要停飞大约150架飞机，但将保留一些国际、国内重要客运、货运航线。澳航表示，作出这一决定是由于新冠病毒引起旅...,2020-03-17 08:41:00
50,标普下调波音评级： 波音离“垃圾级”两步之遥,标普16日下调波音的信用评级，由A-下调至BBB，离所谓的“垃圾级”BB级只有两步之遥。标普的理由是受737Max事故影响，以及新冠疫情可能导致全球航空业萎缩，波音未来两年的现金流疲弱。波音的股价今年以来已经跌去了近三分之二，据彭博社透露，陷...,2020-03-17 08:37:00
51,波音发言人证实正在与白宫和国会洽谈,波音发言人证实正在与白宫和国会洽谈，探讨整个航空业“在短期内获得公共和私人流动资金”。,2020-03-17 08:26:00
52,俄罗斯禁止所有外国公民及无国籍人士入境,据央视新闻消息，3月16日，俄罗斯政府决定从3月18日至5月1日，禁止所有外国公民和无国籍人士入境，但外交人员，航空公司、海运和内河航运工作人员及有俄罗斯长期居留证的人员除外。,2020-03-17 07:32:00
53,美国共和党领导人正考虑对美国航空公司提供贷款和援助,美国共和党领导人正考虑对美国航空公司提供贷款和援助。,2020-03-17 05:41:00
54,美国航空股短线拉升，美国航空集团现涨7%,美国航空股短线拉升，美国航空集团现涨7%，达美航空跌4.8%，美国联合航空跌13%。消息上，特朗普表示，将全力支持航空企业。,2020-03-17 03:45:00
55,美国航空集团强势翻红，现涨超7.4%,美国航空集团强势翻红，现涨超7.4%，达美航空跌幅缩窄至2%，美国联合航空跌7%，此前报道称三家航空公司将寻求至多500亿美元的政府援助以应对疫情。,2020-03-17 01:25:00
56,白宫正在为航空公司起草金融援助计划,消息人士：白宫正在为航空公司起草金融援助计划，白宫针对航空公司的金融援助计划预计将包括直接的援助、贷款以及税收减免。,2020-03-17 00:13:00
57,美国航空股短线上扬，美国航空集团一度翻红,美国航空股短线上扬，美国航空集团一度翻红。此前消息人士称，白宫正在为航空公司起草金融援助计划。针对航空公司的金融援助计划预计将包括直接的援助、贷款以及税收减免。,2020-03-17 00:13:00
58,美股航空股扩大跌幅，达美航空现跌近25%,美股航空股扩大跌幅，达美航空现跌近25%，美国航空集团跌近24%，美国联合航空跌超23%。消息上，据外媒报道，美国的援助计划包括向航空公司提供500亿美元的贷款。,2020-03-18 23:30:00
59,美国的援助计划包括向航空公司提供500亿元的贷款,美国的援助计划包括向航空公司提供500亿元的贷款。此前，据华盛顿邮报获得的一份财政部备忘录显示，财政部的新冠肺炎疫情刺激计划的目标是1万亿美元，其中包括向美国人派发2000美元的支票。该计划还可能包括拨出3000亿美元帮助小企业避免大规模...,2020-03-18 23:27:00
60,东方航空：2020年2月客运运力投入同比下降 72.66%,东方航空公告，2020年2月客运运力投入（按可用座公里计）同比下降 72.66%，其中国内、国际和地区航线客运运力投入分别同比下降 77.99%、61.74%和 84.21%；旅客周转量（按客运人公里计）同比下降 83.74%，其中国内、国际和地区航线旅客周转量分别...,2020-03-18 19:16:00
61,波音盘前跌11.39%,波音盘前跌11.39%；波音正为航空业寻求600亿美元支持。,2020-03-18 16:02:00
62,澳门确诊第14例新冠肺炎病例 系印尼输入,据澳门特区政府网站消息，澳门新型冠状病毒感染应变协调中心表示，18日上午澳门确诊第14例新冠肺炎病例。患者是一名42岁女性，为印尼籍外雇随行家属，于3月17日乘坐国泰航空CX718(座位47F)由印尼雅加达到达香港，乘金巴经港珠澳口岸入境时，被口...,2020-03-18 13:45:00
63,两名员工确诊感染后 NASA要求所有员工远程办公,美国国家航空航天局宣布，所有员工和承包商开始强制性远程办公直到另行通知，该命令立即生效。3月8日和3月13日，NASA的加利福尼亚州艾姆斯研究中心和阿拉巴马州马歇尔航天飞行中心各有一位员工检测出感染新型冠状病毒。（新浪科技）,2020-03-18 09:36:00
64,赤道几内亚新增2例新冠肺炎确诊病例 累计确诊3例,当地时间3月17日，赤道几内亚卫生与社会福利部发布通报，该国新增2例新冠肺炎确诊病例，累计3例。两名感染者分别为一名43岁赤几籍男性和一名53岁西班牙籍女性，二人及日前确诊的42岁赤几籍女性均乘坐赤几木棉洲际航空（Ceiba Intercontinental）...,2020-03-18 08:37:00
65,海航已全面恢复进出岛国内航班,记者3月17日从海南航空控股股份有限公司获悉，该公司目前已全面恢复进出岛国内航班。据悉，自3月15日起，海南进出港航线已达到110余条，每周执行航班量近500个。为降低企业复工成本，助力企业复工复产，海南航空还面向海南企业客户推出了一项1折...,2020-03-18 07:57:00
66,阿尔及利亚宣布进入国家紧急状态,阿尔及利亚总统特本17日晚发表电视讲话，宣布进入国家紧急状态，以应对新冠肺炎疫情。他在讲话中指出，目前政府已经决定关闭阿尔及利亚的所有边境通道，暂停一切航空和海洋运输，禁止游行集会。他还表示，在疫情进展到第三阶段，也就是大暴发时...,2020-03-18 05:04:00
67,美股收盘：三大股指均大幅收涨 道指大涨超1000点,美股收盘，三大股指均大幅收涨。道指收涨5.17%，纳指收涨6.23%，标普500指数收涨5.98%。科技股、中概股大幅回暖，抗疫概念股、公用事业板块涨幅居前，航空股、邮轮概念继续疲软。个股方面，特斯拉收跌3.34%；苹果涨4.4%，微软涨8.23%，巴里克黄...,2020-03-18 04:09:00
68,穆迪可能将达美航空评级下调至垃圾级,穆迪可能将达美航空评级下调至垃圾级。,2020-03-18 03:52:00
69,达美航空、美国联合航空、美国航空集团因波动性过大暂停交易,达美航空、美国联合航空、美国航空集团因波动性过大暂停交易。,2020-03-18 00:05:00
70,美国航空股直线拉升，美国航空集团涨13%,美国航空股直线拉升，美国航空集团涨13%，西南航空涨6.18%，达美航空涨2.9%。,2020-03-18 00:03:00
71,美股跌幅进一步扩大 道指跌超3%,美股三大股指盘初跌幅持续扩大，道指跌超3%，标普500指数跌超2%，纳指跌超1%。美股汽车板块盘初跳水，菲亚特克莱斯勒汽车跌近12%，福特、蔚来、通用汽车跌近5%。美股航空股延续跌势，达美航空跌超8%，波音跌超10%，美联航空、美国航空跌超6%。,2020-03-19 21:41:00
72,美股开盘：道指低开100点 银行股与航空股下挫,美股低开，道指跌100点；航空股大幅下挫；美联储称将与更多央行建立美元掉期额度；桥水基金创始人：预计美国企业或将因疫情损失4万亿美元。,2020-03-19 21:30:00
73,美股盘前：美股股指期货持续下跌 欧股跌幅扩大,盘前美股股指期货持续下跌，欧股由涨转跌，跌幅扩大；美股航空股盘前扩大跌幅，波音(BA.N)跌超5%；美联储周三晚间表示，随着新冠肺炎疫情带来的影响持续波及整个金融市场。,2020-03-19 20:25:00
74,美股航空股盘前扩大跌幅,美股航空股盘前扩大跌幅，波音（BA.N）跌超5%，达美航空（DAL.N）跌4%，美国航空公司（AAL.O）跌3.43%，美国联合航空（UAL.O）跌3.65%。,2020-03-19 19:34:00
75,民航局：疫情期间国际客运航班量只减不增,民航局发布关于疫情防控期间控制国际客运航班量的通知：以民航局3月12日官网发布的“国际航班信息发布（第5期）”为基准，每家航空公司在每条航线上的航班量只减不增。,2020-03-19 18:53:00
76,民航局等五部委：调整目的地为北京的国际航班从指定第一...,经国务院批准，依据《中华人民共和国国境卫生检疫法》和《中华人民共和国民用航空法》有关规定，决定自3月20日零时开始，下列目的地为北京的国际航班从指定第一入境点入境。现公告如下：调整部分国际始发客运航班从指定第一入境点入境：3月20日...,2020-03-19 18:29:00
77,港股收评：恒指跌2.61%失守两万二 石油股、内房股暴跌,【港股收评】恒指早盘低开下挫，午后有所回升，截止收盘收跌2.61%；华为概念股走强，石油股、航空股走低；中兴通讯涨约5%，腾讯控股涨2.69%；美图跌7.38%。,2020-03-19 16:10:00
78,机场航运板块持续走弱,机场航运板块持续走弱，春秋航空、中国国航跌5%，南方航空、上海机场、东方航空等跟跌。,2020-03-19 10:33:00
79,恒指跌幅扩大至3%,恒指跌幅持续扩大，现跌逾3%；“三桶油”、航空股、内险股跌幅居前。,2020-03-19 10:24:00
80,恒指跌幅扩大逾2%,恒指跌幅扩大至2%，“三桶油”和航空股走软。,2020-03-19 10:01:00
81,美国三大股指期货均翻绿,纳指期货抹去涨幅。至此，美国三大股指期货均翻绿；恒指跌幅扩大至2%，“三桶油”和航空股走软。,2020-03-19 10:00:00
82,恒指跌逾1%,恒指跌逾1%，航空板块走弱，华为概念股涨幅居前。,2020-03-19 09:43:00
83,港股航空股走低,港股航空股走低，中国东方航空股份跌4.5%，中国国航跌3.9%，中国南方航空股份跌3.8%，国泰航空跌2.8%。,2020-03-19 09:38:00
84,澳航取消所有国际航班 澳航约2万人短期失业,澳洲航空及旗下捷星航空宣布：2/3的员工将从3月末到至少5月末暂时离开工作岗位，这意味着约2万人短期失业。在澳大利亚联邦政府宣布所有公民避免国际旅行后，澳洲航空已停飞了所有国际航班。目前，澳航有超过150架飞机暂时停飞，其中包括其空客A3...,2020-03-19 08:56:00
85,美股收盘：美股剧震盘中熔断 道指失守2万关口,美股周三继续暴跌，道指失守20000点关口，盘中标普500指数下跌7%触发熔断机制；航空股重挫，达美航空、美国航空跌超25%。,2020-03-19 04:14:00
86,德国将欧洲内部的边境管控措施扩大至航空旅行,德国将欧洲内部的边境管控措施扩大至航空旅行。,2020-03-19 02:28:00
87,美国航空股重挫 达美航空跌势不减,美国航空股重挫，达美航空跌势不减，现跌近40%，美国联合航空跌39%，美国航空集团跌31%。,2020-03-19 01:17:00
88,国泰航空旗下香港快运将暂停所有航班至四月底,3月20日，记者自国泰航空旗下廉航香港快运获悉，因应新型冠状病毒疫情持续，中国香港特别行政区政府及亚洲多国都相继颁布多项入境限制，香港快运航空将于2020年3月23日至4月30日期间暂时停止所有航班的营运。（新京报）,2020-03-20 17:21:00
89,美国航空股盘前走高,美国航空股盘前走高。达美航空（DAL.N）涨16.27%，美国航空集团（AAL.O）、波音（BA.N）涨约11%，美国联合航空（UAL.O）涨21.19%。,2020-03-20 16:21:00
90,国泰旗下香港快运宣布停运所有航班,国泰旗下的香港快运航空20日宣布将于本月23日至4月30日期间停止所有航班营运。香港快运表示，受新冠病毒影响，香港特区政府及亚洲多国相继颁布多项入境限制，旅游需求大幅下降，公司因此作出停运决定，并计划于5月1日恢復航班营运。超过96%员工...,2020-03-20 13:33:00
91,香港快运宣布停运所有航班,国泰旗下的香港快运航空20日宣布将于本月23日至4月30日期间停止所有航班营运。香港快运表示，受新冠病毒影响，香港特区政府及亚洲多国相继颁布多项入境限制，旅游需求大幅下降，公司因此作出停运决定，并计划于5月1日恢復航班营运。超过96%员工...,2020-03-20 13:17:00
92,机场航运概念活跃,机场航运概念活跃，春秋航空涨逾6%，吉祥航空、白云机场、海航控股等小幅跟涨。,2020-03-20 09:57:00
93,美股收盘：三大股指集体收涨 纳指上涨2.3%,美股收盘，三大股指集体收涨。大型科技股走高，纳指上涨2.3%，标普500指数涨0.47%，道琼工业指数涨0.96%。科技股大幅回暖，抗疫概念股、航空股继续疲软。个股方面，特斯拉收涨18.39%，重回400美元上方。,2020-03-20 04:15:00
94,疫情冲击航空业 美国三大航空公司告急,随着美国新冠疫情的蔓延，航空产业首当其冲受到打击。20日，美国三大航空公司纷纷告急。达美航空公司CEO致信员工表示，公司二季度营收将下降100亿美元，相当于比去年同期暴跌80%，该公司9万名员工中已有1.3万人自愿停薪留职。美联航CEO致信员工...,2020-03-21 08:27:00
95,俄罗斯23日起将临时限制与所有国家的空中交通,根据俄政府令，23日起，俄罗斯将临时限制与所有国家的空中交通。除撤侨包机外，与每个国家仅保留一趟航线。俄罗斯联邦航空运输局已发布与146个国家的最新航线信息。俄罗斯与中国间将保留莫斯科至北京往返航程。（央视）,2020-03-22 22:17:00
96,阿联酋航空将从3月25日起暂时停止所有客运运营,市场消息：阿联酋航空将从3月25日起暂时停止所有客运运营。,2020-03-22 21:40:00
97,阿联酋航空公司宣布暂停往返北京的航线,当地时间22日，阿联酋航空公司宣布，将从23日起，暂停往返北京的航线，恢复时间另行通知（央视）,2020-03-22 19:21:00
98,乌干达确诊首例新冠肺炎病例,乌干达卫生部部长简·露丝·阿曾21日在国家电视台向公众通报，乌干达确诊了第一例新冠病毒肺炎病例。她说，患者为一名36岁乌干达男性，此人21日上午从迪拜乘埃塞俄比亚航空公司班机抵达乌干达。,2020-03-22 10:27:00
99,高盛：抄底波音的时候到了！,高盛给出波音173美元目标价，比当前价格高出82%。高盛认为疫情褪去后全球强劲的航空需求以及波音健康的资产负债表将促使股价反弹。,2020-03-23 18:29:00
100,香港特区政府宣布10亿港元纾困措施支持航空业界,中国香港特区政府联同香港机场管理局（机管局）宣布推出10亿元的纾缓措施，以协助航空业界应对2019冠状病毒病爆发以来持续的挑战。,2020-03-23 18:07:00
101,首都机场已成为境外输入疫情防控阻击战的最前线,中国民用航空局运行监控中心副主任孙韶华23日在国务院联防联控机制新闻发布会上说，目前首都机场口岸面临前所未有的输入性风险，首都机场已经成为疫情防控阻击战的最前线。,2020-03-23 15:42:00
102,民航局：指定第一入境点的安排会根据疫情变化情况适时调整,中国民用航空局运行监控中心副主任孙韶华表示，后续会根据公告的要求，目的地为北京的国际航班指定第一入境点的安排及相关措施会根据疫情变化情况适时调整。（一财）,2020-03-23 15:41:00
103,港股午评：港股恒指大跌3.75% 科创实业跌10.45%领跌蓝筹,恒指收跌3.75%，“三桶油”、内房股、航空股等板块下挫。,2020-03-23 12:00:00
104,西部航空与部分大额持有人商议暂缓债券回售,3月23日，西部航空发布了“17西航01”的回售公告。资料显示，“17西航01”将在4月7日回售，该期债券发行规模为7.8亿元，票面利率6.2%，2022年4月7日到期。3月23日，记者独家获悉，西部航空正与部分大额持有人商议暂不行使回售权。（21世纪经济报...,2020-03-23 11:54:00
105,美国航空公司的载客量较去年同期减少了86%,美国航空公司的载客量较去年同期减少了86%。,2020-03-24 23:26:00
106,美股开盘：三大股指报复性反攻 波音高开17%,美股大幅反弹，道指高开1100点，三大股指均涨5%；航空股波音大涨17%，两日累计反弹近30%；黄金股、科技股普涨，Vista黄金涨10%，微软、苹果均涨逾5%。,2020-03-24 21:30:00
107,国际航空运输协会：各大航空公司2020年营收将缩水2520亿美元,国际航空运输协会：各大航空公司2020年营收将缩水2520亿美元。,2020-03-24 20:16:00
108,菲律宾航空公司暂停所有国际航班,3月24日，菲律宾航空公司决定从3月26日到4月14日暂停所有国际航班。菲律宾吕宋岛从3月17日0时开始实行“强化社区隔离”，直到4月13日0时结束。其间，大规模公共交通设施暂停运行，包括公路、航空、海运在内的交通都受到限制。（央视新闻）,2020-03-24 20:04:00
109,国务院：对疫情期间国际货运航线给予政策支持,本周国常会：对疫情期间国际货运航线给予政策支持，鼓励航空货运企业与物流企业联合重组；对货运功能较强的机场，放开高峰时段对货运航班的时刻限制。,2020-03-24 19:06:00
110,美股科技股盘前普涨 航空股走强,奈飞涨4.09%，微软涨4.65%，苹果涨4.51%，Facebook涨4.25%；美国联合航空涨超10%，达美航空涨8%，美国航空集团涨7.3%。,2020-03-24 16:05:00
111,超30家航空公司宣布停飞所有国际航线 超20家已全线停飞,截至北京时间3月23日晚间，据各大航司官网和新闻媒体公布的数据不完全统计，已有超过20家航空公司全线停飞所有航班。此外，据民航资源网不完全统计，还有12家航空公司仅停飞了所有国际航线，包括――越南航空、南非航空、阿维安卡航空、巴基斯坦...,2020-03-24 13:46:00
